OBJECTID_1,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,SHAPE_Length,SHAPE_Area
5792,4c07d11e-0ab9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12065,187026,Daingean,187026001,187026001,A187026001,0,0,5792,7252.553887,2601655.888
5793,4c07d11e-0aba-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6053,87079,Rathangan,87079003,87079003,A087079003,0,0,5793,6970.325995,1424672.306
5794,4c07d11e-0abb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6053,87079,Rathangan,87079002,87079002,A087079002,0,0,5794,3584.029846,645578.8191
5795,4c07d11e-13b6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6065,87033,Droichead Nua (Newbridge) Rural,87033004,087033004/01,A087033004,0,2,5795,5832.849582,1871960.982
5796,4c07d11e-13b7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6070,87048,Kilcullen,87048008,87048008,A087048008,0,0,5796,7238.735599,1770055.041
5797,4c07d11e-13b8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6065,87033,Droichead Nua (Newbridge) Rural,87033006,87033006,A087033006,0,0,5797,4861.067631,1497621.399
5798,4c07d11e-13b9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6078,87069,Morristownbiller,87069006,87069006,A087069006,0,0,5798,4078.31334,725782.6773
5799,4c07d11e-13ba-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6065,87033,Droichead Nua (Newbridge) Rural,87033003,87033003,A087033003,0,0,5799,10894.72045,5978292.001
5800,4c07d11e-13bb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,KE,Kildare,6077,87062,Ladytown,87062003,87062003,A087062003,0,0,5800,7636.026878,2042701.817
5801,4c07d11e-14ad-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7101,97033,Dunkitt,97033001,97033001,A097033001,0,0,5801,3752.398851,784513.4928
5802,4c07d11e-14be-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7111,97091,Rathpatrick,97091003,97091003,A097091003,0,0,5802,5688.627173,1682081.565
5803,4c07d11e-14bf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25072,227036,Faithlegg (Part Rural),227036007,227036007,A227036007,0,0,5803,8418.332597,2892803.079
5804,4c07d11e-14c0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7113,97110,Ullid,97110002,97110002,A097110002,0,0,5804,5749.286872,1526495.342
5805,4c07d11e-14c1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7113,97110,Ullid,97110001,97110001,A097110001,0,0,5805,8150.674463,2412727.629
5806,4c07d11e-14c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WX,Wexford,14075,247048,Fethard,247048001,247048001,A247048001,0,0,5806,8467.24358,2264404.162
